"id","title","author","pub_date","venue","volume","issue","page","type","publisher","editor"
"doi:10.1145/1600193.1600232","Annotations with EARMARK for arbitrary, overlapping and out-of order markup","Peroni, Silvio; Vitali, Fabio [orcid:0000-0002-7562-5203]","","","","","","proceedings article","",""
"doi:10.1007/978-3-319-25639-9_35","Templating the Semantic Web via RSLT","Peroni, Silvio; Vitali, Fabio","2015","The Semantic Web: ESWC 2015 Satellite Events","","","183-189","book chapter","Springer International Publishing [crossref:297]",""
"doi:10.1016/j.websem.2017.06.001","Interfacing fast-fashion design industries with Semantic Web technologies","Peroni, Silvio; Vitali, Fabio","2017-5","Journal of Web Semantics [issn:1570-8268]","44","","37-53","journal article","Elsevier BV [crossref:78]",""
"doi:10.1145/1774088.1774262","Of mice and terms","Di Matteo, Nicola Raffaele; Peroni, Silvio; Tamburini, Fabio; Vitali, Fabio [orcid:0000-0002-7562-5203]","","","","","","proceedings article","",""
