"id","value"
"10.1186/2041-1480-3-s1-i1","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1471-2105-13-3","Dumontier, Michel [0000-0003-4727-9435]"
"10.2217/pgs.11.179","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/bioinformatics/btr058","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1758-2946-3-20","Dumontier, Michel [0000-0003-4727-9435]"
"10.1038/msb.2011.77","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-2-s2-s3","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1752-0509-5-124","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-2-s2-s10","Dumontier, Michel [0000-0003-4727-9435]"
"10.1371/journal.pone.0022006","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.cag.2011.03.039","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1471-2105-12-303","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1758-2946-3-16","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/sw-2011-0048","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/ao-2011-0082","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-2-s2-s1","Dumontier, Michel [0000-0003-4727-9435]"
"10.1371/journal.pone.0025513","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/978-1-60750-806-9-165","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/sw-2010-0018","Dumontier, Michel [0000-0003-4727-9435]"
"10.1261/rna.2102210","Dumontier, Michel [0000-0003-4727-9435]"
"10.3109/13693781003767584","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1749-8546-5-43","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.websem.2009.12.002","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/2041-1480-1-s1-s2","Dumontier, Michel [0000-0003-4727-9435]"
"10.3233/978-1-60750-535-8-387","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1471-2105-11-441","Dumontier, Michel [0000-0003-4727-9435]"
"10.1002/9780470495018.ch7","Dumontier, Michel [0000-0003-4727-9435]"
"10.1109/ccece.2009.5090220","Dumontier, Michel [0000-0003-4727-9435]"
"10.1002/9780470495018.ch2","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/bib/bbn056","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/978-3-540-69828-9_17","Dumontier, Michel [0000-0003-4727-9435]"
"10.1007/10_2007_089","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/nar/gkn390","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1752-0509-2-66","Dumontier, Michel [0000-0003-4727-9435]"
"10.1145/1367497.1367764","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.jbi.2008.05.001","Dumontier, Michel [0000-0003-4727-9435]"
"10.1109/edocw.2007.28","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1471-2105-7-152","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.jmb.2005.05.037","Dumontier, Michel [0000-0003-4727-9435]"
"10.1016/j.febslet.2005.07.039","Dumontier, Michel [0000-0003-4727-9435]"
"10.1002/rcm.1853","Dumontier, Michel [0000-0003-4727-9435]"
"10.1093/nar/gki051","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1471-2105-3-13","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1471-2105-3-32","Dumontier, Michel [0000-0003-4727-9435]"
"10.1186/1471-2105-3-39","Dumontier, Michel [0000-0003-4727-9435]"
"10.1002/(sici)1097-0185(199804)250:4<381::aid-ar1>3.0.co;2-0","Dumontier, Michel [0000-0003-4727-9435]"
